Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
Scrypt,PoW/PoS,41.99995383,42.0,-0.3455149842536507,1.0007292356004887,-0.5565149683767591,0,42 Coin
Scrypt,PoW/PoS,1055184902.04,532000000.0,-0.3288426158984892,1.000960521840083,-0.5568167188349878,0,404Coin
X13,PoW/PoS,29279424622.5027,314159265359.0,2.311709516217969,1.6911844474634878,-0.5589191470630306,0,EliteCoin
SHA-256,PoW,17927175.0,21000000.0,-0.14190785775420786,-1.301406792605075,0.20964075145060482,3,Bitcoin
Ethash,PoW,107684222.6865,0.0,-0.14787043567899594,-1.9976228663576134,0.34228250024152446,3,Ethereum
Scrypt,PoW,63039243.3000049,84000000.0,-0.17034829151335118,-1.1636241894130208,-0.05590230283011731,3,Litecoin
X11,PoW/PoS,9031294.37563393,22000000.0,-0.39733023138040396,1.3049621785934495,-0.437128410156231,0,Dash
CryptoNight-V7,PoW,17201143.1449131,0.0,-0.15189376995208828,-2.224354587045917,0.4194323766390299,3,Monero
Ethash,PoW,113359703.0,210000000.0,-0.1463100673366762,-1.997716181640666,0.3422648134663793,3,Ethereum Classic
Equihash,PoW,7383056.25,21000000.0,-0.13735149027520607,-2.1234112004422845,0.3537573566873122,3,ZCash
SHA-512,PoS,2741570000.0,3600570502.0,-0.3940455468115049,1.2430501576605117,-0.243451529118115,0,Bitshares
Multiple,PoW,11406219141.0,21000000000.0,0.1753261311152588,-1.8236195994087114,0.32469434068905667,3,DigiByte
SHA-256,PoW/PoS,1288862.0,22000000.0,-0.31590399347287484,0.8629286798689577,-0.2909899608963296,0,BitcoinDark
SHA-256,PoS,11995334.8847328,12500000.0,-0.2596029567001027,0.6550437502665107,-0.02763806592142139,0,PayCoin
Scrypt,PoW,5768310.0,21000000.0,-0.17149548784789453,-1.1636211643493,-0.05588327865689291,3,ProsperCoin
X15,PoW/PoS,25542535.5881841,350000000.0,-0.24795434059277355,1.9107316769510982,-0.583281650165125,0,KoboCoin
X11,PoW,11149733.9976203,20000000.0,-0.22351863936231495,-0.8593793618596686,0.06350596426189636,3,Spreadcoin
Scrypt,PoW,12205795.4449549,64000000.0,-0.1711115149902516,-1.1636379012884117,-0.05588820256332248,3,Argentum
Scrypt,PoW/PoS,18135099.992959,16768584.0,-0.34517430292733814,1.0007297296761486,-0.5565207457915624,0,Aurora Coin
Scrypt,PoW/PoS,635423900.0,0.0,-0.3377496323095584,1.0010147623061703,-0.5566718354284382,0,BlueCoin
Multiple,PoW,1688254250.0,2000000000.0,-0.07833551135402084,-1.819312801419084,0.3285668795249394,3,MyriadCoin
Scrypt,PoW,88.0,384000000000.0,2.554702749335033,-1.3389111772592202,-0.08565973624420638,3,MoonCoin
SHA-256,PoW,170204389.754849,169795588.0,-0.13899046132574358,-1.301406292660371,0.2095916195644456,3,ZetaCoin
Scrypt,PoW,128940951.183046,250000000.0,-0.1683643159103321,-1.1636703560223363,-0.055931445415408974,3,SexCoin
Scrypt,PoW,7357794.7925,100000000.0,-0.170915159493122,-1.163656513824147,-0.055889797566729196,3,Quatloo
Scrypt,PoW/PoS,123062801.128773,0.0,-0.34401106608780485,1.0007845336721395,-0.556545348870478,0,EnergyCoin
Quark,PoW,259557164.91477,247000000.0,-0.22032247966481802,-0.41122846781152894,0.0861220675438518,3,QuarkCoin
Groestl,PoW,49548585.1412917,84000000.0,-0.20005464428652425,-1.196143223379104,0.1544558659485923,3,Riecoin
Scrypt,PoW,33442988.3440364,48166000.0,-0.1709644028296994,-1.1636211301274646,-0.05589221744854516,3,Digitalcoin 
Scrypt,PoW/PoS,42579.476901,500000.0,-0.3455109146890264,1.0007290264824942,-0.5565150176501298,0,BitBar
Scrypt,PoW,7219956.64626131,21000000.0,-0.17147774764598425,-1.163620512054219,-0.055883637024825406,3,Catcoin
Scrypt,PoW/PoS,1039116.65144562,1000000.0,-0.3454951862402039,1.0007292460235557,-0.5565153024406144,0,CryptoBullion
Scrypt,PoW,4703879.51824446,13140000.0,-0.17156430234518133,-1.1636180545387986,-0.055882406331646435,3,CannaCoin
X11,PoW,4996986.20575291,18000000.0,-0.2236080306102813,-0.859381213581725,0.06350763829204063,3,CryptCoin
Scrypt,PoC,39999997299.8568,40000000000.0,0.5654369780959101,0.19640068593217963,-0.3834544010064539,0,CasinoCoin
Groestl,PoW/PoS,3304487.74735637,4380000.0,-0.37498499045789196,0.9682157490249548,-0.3461612854737613,0,Diamond
Multiple,PoW,15929530669.1206,16555000000.0,0.1990446565281673,-1.8195579025009354,0.3239223843464227,3,Verge
SHA-256,PoW,18773857500.0,21000000000.0,0.23625543763264592,-1.3025558140853986,0.20338353750736807,3,DevCoin
Scrypt,PoW,12539015186.822,13500000000.0,0.07737163844734313,-1.1641425689300708,-0.06002266800162345,3,EarthCoin
Scrypt,PoW,20910478.8062499,21000000.0,-0.17131043928068623,-1.1636143602401505,-0.05588701680332244,3,E-Gulden
Scrypt,PoW,218871896.499999,299792458.0,-0.16691176409432426,-1.1636526760847157,-0.055957508108559983,3,Einsteinium
Scrypt,PoW,19496786.31025,32000000.0,-0.1712496151438873,-1.1636200170094566,-0.055887520864013766,3,Emerald
PoS,PoS,5679705.0,0.0,-0.3267306710426033,1.6077461657641592,-0.10656350934994231,0,Exclusive Coin
Scrypt,PoS/PoW/PoT,461829905.32893,0.0,-0.30667033290298,0.21538755173302443,-0.4262293439018208,0,FlutterCoin
Scrypt,PoW,1142732.14912776,11235813.0,-0.1716213420313179,-1.1636187854682678,-0.055881379520139905,3,Franko
NeoScrypt,PoW,208669093.00773,336000000.0,-0.17364953312894146,-1.5908094553358667,0.21537996411815047,3,FeatherCoin
Scrypt,PoW,884125802.0,1420609614.0,-0.150824012630672,-1.1638654012869052,-0.05620865958150607,3,GrandCoin
Scrypt,PoW,65672720.4708748,70000000.0,-0.1704155091133117,-1.1636166150275642,-0.05590186724518242,3,GlobalCoin
Scrypt,PoW,41658647.9999715,72245700.0,-0.17069303436891736,-1.1636284308802685,-0.05589611304820322,3,GoldCoin
Scrypt,PoW/PoS,89266933.684704,120000000.0,-0.34357207115710864,1.0007145672387199,-0.5565463117833546,0,HoboNickels
X11,PoS,1678520090.7713,0.0,-0.32084639121161324,1.0978283264374862,-0.17418504930258047,0,HyperStake
Scrypt,PoW,90595753018.6314,90600000000.0,1.578696621817147,-1.1642642518774016,-0.08527169810353762,3,Infinite Coin
X11,PoW/PoS,17650913.9743456,22000000.0,-0.39722489321669613,1.3049660518056185,-0.4371305380812759,0,IOCoin
SHA-256,PoW,21089348.999,21000000.0,-0.14186921363557045,-1.3014053716872875,0.20963997080487015,3,IXcoin
Scrypt,PoW,151447649.8,265420800.0,-0.1679797789142689,-1.1636672823092462,-0.05593819753842705,3,KrugerCoin
Scrypt,PoW,19326319.14375,20000000.0,-0.17133689893666523,-1.1636146155771179,-0.055886548171100725,3,LuckyCoin
Scrypt,PoW,1104344.22938102,1350000.0,-0.17169200089157846,-1.163614289818245,-0.05588060339053322,3,Litebar 
SHA3,PoW/PoS,61445805.0,100000000.0,-0.3486556386309294,2.2145788432960503,-0.5207481142966446,0,MaxCoin
Scrypt,PoW,38151999.9930997,42000000.0,-0.17095063409057512,-1.1636161993454914,-0.05589290178372708,3,MegaCoin
HybridScryptHash256,PoW,40431856.9,200000000.0,-0.14935615447277426,-2.1891274314113276,0.35217332146453173,3,MediterraneanCoin
Scrypt,PoS,21293925445.4969,0.0,-0.029049729227467416,0.8024035493676485,-0.2984179972871276,0,MintCoin
Scrypt,PoW,5804204.88794916,10000000.0,-0.17157314969641993,-1.1636161266911287,-0.05588243445937753,3,MinCoin
SHA-256,PoW/PoS,1613836099.99999,2419200000.0,-0.2791772353278376,0.8625589472818134,-0.29157395514572193,0,MazaCoin
Scrypt,PoS,16180000.0,16180000.0,-0.28896472852680943,0.7928350425315492,-0.29316641614232203,0,Nautilus Coin
X13,PoW/PoS,66087096.2077108,0.0,-0.2758445717017469,1.8214720102425686,-0.5273439471663706,0,NavCoin
Scrypt,PoW,2366066305.76482,15000000000.0,-0.03629929497864071,-1.1693985210501754,-0.05762759884941297,3,NobleCoin
SHA-256,PoW,14736400.0,21000000.0,-0.14194685139835428,-1.3014082263746813,0.2096415391570608,3,Namecoin
Scrypt,PoW,334709223.483138,337000000.0,-0.16523197051031527,-1.1636176101090718,-0.05598899033841146,3,NyanCoin
X13,PoW/PoS,15156364.3306548,0.0,-0.27646698313311513,1.8214491246002817,-0.5273313738992279,0,OpalCoin
NeoScrypt,PoW/PoS,3220616.279225,3770000.0,-0.3523190179786919,0.5735932959647086,-0.2851782944177848,0,Orbitcoin
Scrypt,PoW/PoS,222677226.014206,420000000.0,-0.3398116842099404,1.000637564151439,-0.5566025120176258,0,PotCoin
Scrypt,PoW/PoS,73959274.625,98000000.0,-0.3439153431598413,1.0007177318245146,-0.5565408266645856,0,PhoenixCoin
Scrypt,PoW/PoS,29315567169.0888,0.0,0.01274305385582799,1.0139021384617704,-0.5637521009129028,0,Reddcoin
Scrypt,PoW,1104157.42169891,21000000.0,-0.1715524872621065,-1.163623260178744,-0.05588212721778725,3,RonPaulCoin
Scrypt,PoW,24215181.725,250000000.0,-0.16964414271955333,-1.1637174143780606,-0.05590559177012306,3,StableCoin
Scrypt,PoW,25593737.1355044,51200000.0,-0.17103878497771988,-1.1636260422048057,-0.055890514993456195,3,SmartCoin
X11,PoS,50707661.7493518,0.0,-0.3407394700386017,1.0970968715459692,-0.17378319133247713,0,SuperCoin
X11,PoW/PoS,1177.0,1000.0,-0.3975967800537922,1.304968163525974,-0.4371244748514041,0,SyncCoin
SHA-256,PoW,563336541.299966,888000000.0,-0.12908680930600605,-1.30155750156014,0.20943886971829972,3,SysCoin
Multiple,PoS,80260463.7331396,100000000.0,-0.22903873689749205,0.1372813322118055,0.09183025045540151,0,TeslaCoin
SHA-256,PoW,43536800.0,47011968.0,-0.14141020290487352,-1.3014071594929986,0.20963241195467514,3,TigerCoin
PHI1612,PoS,1622326490.46336,2300000000.0,-0.30083930130625375,1.6106359798727108,-0.23318121635112257,0,TittieCoin
X11,PoW/PoS,1431851.00002479,10000000.0,-0.39750830278894084,1.304964241827295,-0.4371256034723466,0,TorCoin
SHA-256,PoW,22935396.0,42000000.0,-0.14169755259284245,-1.3014141287241416,0.20963788650438098,3,TerraCoin
SHA-256,PoW,2278150.0,80000000.0,-0.14168019774163476,-1.3014407581240421,0.20964003922693933,3,UnbreakableCoin
SHA-256,PoW,200911.79151896,250000.0,-0.14227181184081925,-1.3014052854434388,0.20964673671154205,3,Unobtanium
X11,PoW,1207310.0,0.0,-0.22378214410847683,-0.8593746994193927,0.06350996976374797,3,UroCoin
Scrypt,PoW/PoS,1098952592.6,1600000000.0,-0.3207248925706387,1.0004926439791277,-0.5569103480251022,0,UnitaryStatus Dollar
Scrypt,PoW/PoS,50235211.141939,100000000.0,-0.3441910687712837,1.0007061584495756,-0.5565351250078767,0,UltraCoin
Scrypt,PoW,23150892.1679687,23000000.0,-0.17126885966987718,-1.163614266519265,-0.05588772499566848,3,ViaCoin
Scrypt,PoST,32021108.4136696,0.0,-0.29245835251659047,0.2536429196407435,-0.3594861655372374,0,VeriCoin
Lyra2REv2,PoW,51173723.8166347,84000000.0,-0.18631275339949027,-1.2930328344350799,0.1335225540938494,3,Vertcoin
Scrypt,PoW,119606941.0,265420800.0,-0.16836889606239516,-1.1636815898804294,-0.05593033702429338,3,WorldCoin
X11,PoW/PoS,6950831.0970606,5500000.0,-0.3974728069554828,1.3049687760339144,-0.43712661696404287,0,X11 Coin
Multiple,PoS,100000000.0,0.0,-0.2295075097231529,0.13733585240298984,0.09183313243787468,0,Crypti
SHA-256,PoW,39195739.362088,45000000.0,-0.14147753896144388,-1.3014081916729285,0.20963363966183385,3,JouleCoin
X13,PoW/PoS,33093725.4123502,0.0,-0.2762477752369322,1.8214571847245757,-0.5273358020946299,0,StealthCoin
Scrypt,PoW/PoS,147990237.978331,1000000000.0,-0.3366063878331491,1.000339232151954,-0.556629053513218,0,ZCC Coin
CryptoNight,PoW,184066828814.0,184467440735.0,3.872173141714704,-2.2917962745901743,0.32627293456503487,3,ByteCoin
CryptoNight,PoW,6906587610.38292,10000000000.0,0.4684162729090529,-2.291758098998458,0.38353856508733486,3,DigitalNote 
Shabal256,PoC,1813033920.0,2158812800.0,-0.24238524824284727,0.29304039145022065,-0.2494915454036715,0,BurstCoin
Counterparty,PoS,51173144.0,500000000.0,-0.3228193371763057,1.5422514642788554,-0.019042685344612786,0,StorjCoin
Scrypt,PoW,68194674.8711679,105120000.0,-0.1701353353237222,-1.1636315141635647,-0.05590521342430091,3,MonaCoin
SHA-256,PoW/PoS,39121694.0,68000000.0,-0.31511504598575,0.8629246808703507,-0.2910028680227613,0,Neutron
Groestl,PoW/PoS,53193831.0,0.0,-0.3744064037735873,0.9682401662024328,-0.34617326198081033,0,FairCoin
Scrypt,PoW,415032420.0,1680000000.0,-0.15471499893673527,-1.16419460003388,-0.056112970456512916,3,Gulden
Scrypt,PoS,27184490.3918338,0.0,-0.2889451242191612,0.792847373594024,-0.29316787804822697,0,RubyCoin
Scrypt,PoW,137517654.41397,166386000.0,-0.1688531654989795,-1.1636283320841794,-0.05592707841245714,3,PesetaCoin
X13,PoW/PoS,2022464.886973,12000000.0,-0.27654228859755176,1.8214377448722492,-0.5273290621438442,0,Kore
Scrypt,PoW,181919.2435974,2628000.0,-0.17169419975176411,-1.1636152877187793,-0.055880474781457024,3,Wild Beast Coin
Scrypt,PoS,174646113.934655,500000000.0,-0.28359301026513223,0.7926853839250267,-0.2932430572954464,0,Dnotes
Scrypt,PoW,152270664.860648,160000000.0,-0.16871821363294223,-1.1636187876169561,-0.0559302252479245,3,Flo
Scrypt,PoW/PoS,1467841.0,0.0,-0.3454970469561654,1.000729895172774,-0.5565153307289643,0,8BIT Coin
X13,PoW/PoS,7096834.0,10000000.0,-0.27649447612498684,1.82144093803708,-0.5273301597514691,0,Sativa Coin
Scrypt,PoW,792537250.0,1000000000.0,-0.1549296406590633,-1.1637145470627677,-0.056153430505124086,3,ArtByte
Stanford Folding,PoW,719416990.0,1000000000.0,-0.12477519946040458,-2.0941267486171737,0.4016886783846051,3,Folding Coin
X11,PoS,2689812.0,20000000.0,-0.34118428295479764,1.0970661647500977,-0.1737728881845488,0,Ucoin
Multiple,PoW,65113302.0,0.0,-0.11237159407298235,-1.8191291519406123,0.329122685862155,3,Unitus
QuBit,PoW,6365285.0,0.0,-0.17835733009454105,-1.4917859354616858,0.25690849031308555,3,CypherPunkCoin
Scrypt,PoW,10140044.4430293,3371337.0,-0.17156722632667287,-1.1636111523865607,-0.05588299078969432,3,OmniCron
Scrypt,PoW/PoS,11604722.0,20000000.0,-0.34523116580077606,1.0007253201114397,-0.5565193842364059,0,Vtorrent
Scrypt,PoW,4610340640.89,10000000000.0,-0.04437282523054703,-1.1661075468758741,-0.057793888699894415,3,GreenCoin
M7 POW,PoW,708506520.0,1840000000.0,-0.11905449987089357,-2.141763553091074,0.4683463163737352,3,Cryptonite
Scrypt,PoW,619478.0,619478.0,-0.17170311305771782,-1.1636141742068942,-0.05588042703906117,3,MasterCoin
SHA-256,PoW,12462620.0,21000000.0,-0.14197463868143967,-1.3014092480940598,0.20964210048501175,3,SoonCoin
Scrypt,PoW,88213.0,92000000000.0,0.4814902679662404,-1.2056123715225346,-0.06301492215263373,3,1Credit
X11,PoW/PoS,1513704.0,0.0,-0.39757830294871616,1.304968843634047,-0.4371248481713156,0,IslaCoin
